Rk,Player,Age,Tm,Pos,GP,G,A,PTS,GC,plusMinus,PIM,EV,PP,SH,GW,S,S%,TOI,ATOI
341,Nikolai Zherdev,26,PHI,RW,56,16,6,22,10,5,22,15,1,0,1,135,11.9,720,12:51
342,Bobby Butler,23,OTT,LW,36,10,11,21,9,-16,10,9,1,0,3,73,13.7,555,15:26
343,Chris Campoli,26,TOT,D,77,4,17,21,7,0,36,3,1,0,1,84,4.8,1474,19:08
344,Jake Dowell,25,CHI,C,79,6,15,21,7,5,63,6,0,0,0,74,8.1,933,11:49
345,Brandon McMillan,20,ANA,LW,60,11,10,21,8,-5,18,7,2,2,2,77,14.3,844,14:04
346,Michal Rozsival,32,TOT,D,65,6,15,21,7,6,42,4,2,0,3,55,10.9,1365,21:00
347,Maxime Talbot,26,PIT,C,82,8,13,21,8,-3,66,6,0,2,2,117,6.8,1236,15:04
348,Tim Brent,26,TOR,C,79,8,12,20,8,-4,33,7,0,1,1,60,13.3,920,11:39
349,Alexander Burmistrov,19,ATL,C,74,6,14,20,7,-12,27,6,0,0,2,92,6.5,978,13:13
350,Matt Calvert,21,CBJ,LW,42,11,9,20,8,3,12,8,3,0,1,50,22,466,11:06
351,Patrick Eaves,26,DET,RW,63,13,7,20,9,-2,14,10,2,1,1,108,12,800,12:42
352,Eric Fehr,25,WSH,RW,52,10,10,20,8,0,16,7,3,0,1,120,8.3,655,12:35
353,Carl Gunnarsson,24,TOR,D,68,4,16,20,7,-2,14,3,1,0,1,69,5.8,1240,18:15
354,Jan Hejda,32,CBJ,D,77,5,15,20,7,-6,28,5,0,0,0,79,6.3,1626,21:07
355,Jay McClement,27,TOT,C,80,7,13,20,7,-21,30,6,1,0,1,127,5.5,1335,16:42
356,Cody McCormick,27,BUF,C,81,8,12,20,8,2,142,8,0,0,1,104,7.7,887,10:57
357,Kyle Okposo,22,NYI,RW,38,5,15,20,7,3,40,5,0,0,2,72,6.9,630,16:35
358,Samuel Pahlsson,33,CBJ,C,82,7,13,20,7,-13,30,6,0,1,1,108,6.5,1258,15:20
359,Brad Stuart,31,DET,D,67,3,17,20,6,4,40,2,1,0,1,81,3.7,1442,21:32
360,Shawn Thornton,33,BOS,RW,79,10,10,20,8,8,122,10,0,0,2,151,6.6,796,10:05
361,Justin Abdelkader,23,DET,LW,74,7,12,19,7,15,61,7,0,0,1,129,5.4,910,12:18
362,Grant Clitsome,25,CBJ,D,31,4,15,19,6,2,16,2,2,0,0,50,8,659,21:16
363,J.P. Dumont,32,NSH,RW,70,10,9,19,8,2,16,9,1,0,2,89,11.2,783,11:11
364,Ron Hainsey,29,ATL,D,82,3,16,19,6,3,24,3,0,0,2,83,3.6,1483,18:05
365,Zbynek Michalek,28,PIT,D,73,5,14,19,6,0,30,4,1,0,2,104,4.8,1594,21:50
366,Rob Niedermayer,36,BUF,C,71,5,14,19,6,-8,22,5,0,0,1,80,6.3,906,12:46
367,Brad Richardson,25,LAK,RW,68,7,12,19,7,-13,47,6,0,1,1,103,6.8,800,11:46
368,Jack Skille,23,TOT,RW,62,8,11,19,7,-9,29,7,1,0,1,154,5.2,739,11:55
369,Chris Thorburn,27,ATL,C,82,9,10,19,8,-4,77,7,2,0,0,114,7.9,1131,13:48
370,David Clarkson,26,NJD,RW,82,12,6,18,8,-20,116,11,1,0,1,192,6.3,1117,13:37
371,Patrick Dwyer,27,CAR,RW,80,8,10,18,7,-6,12,7,0,1,2,104,7.7,1006,12:35
372,Jason Garrison,26,FLA,D,73,5,13,18,6,-2,26,5,0,0,3,116,4.3,1627,22:18
373,Adam Hall,30,TBL,RW,82,7,11,18,7,-12,32,7,0,0,1,167,4.2,1218,14:51
374,Kevin Klein,26,NSH,D,81,2,16,18,5,9,24,2,0,0,0,99,2,1684,20:48
375,Tom Kostopoulos,32,TOT,RW,76,8,10,18,7,-4,74,6,2,0,0,79,10.1,938,12:20
376,Drew Miller,26,DET,LW,67,10,8,18,7,-2,13,9,0,1,2,85,11.8,787,11:45
377,Sean O'Donnell,39,PHI,D,81,1,17,18,5,8,87,1,0,0,0,34,2.9,1259,15:33
378,Cal O'Reilly,24,NSH,C,38,6,12,18,6,4,2,5,1,0,1,44,13.6,642,16:54
379,Anton Stralman,24,CBJ,D,51,1,17,18,5,-11,22,0,1,0,1,80,1.3,1006,19:44
380,Jordin Tootoo,27,NSH,RW,54,8,10,18,7,8,61,8,0,0,1,85,9.4,641,11:53
381,Marc-Edouard Vlasic,23,SJS,D,80,4,14,18,6,14,18,4,0,0,2,116,3.4,1669,20:52
382,Bryan Allen,30,TOT,D,72,4,13,17,6,-1,82,4,0,0,1,58,6.9,1319,18:19
383,Francois Beauchemin,30,TOT,D,81,5,12,17,6,-8,32,4,1,0,0,106,4.7,1869,23:04
384,Zach Bogosian,20,ATL,D,71,5,12,17,6,-27,29,5,0,0,1,155,3.2,1591,22:24
385,Evgeni Dadonov,21,FLA,RW,36,8,9,17,7,0,14,7,1,0,0,60,13.3,513,14:15
386,Derek Dorsett,24,CBJ,RW,76,4,13,17,6,-15,184,4,0,0,0,112,3.6,1004,13:13
