Rk,Player,Age,Tm,Pos,GP,G,A,PTS,GC,plusMinus,PIM,EV,PP,SH,GW,S,S%,TOI,ATOI
1,Evgeni Malkin,25,PIT,C,75,50,59,109,43,18,70,38,12,0,9,339,14.7,1577,21:01
2,Steven Stamkos,21,TBL,C,82,60,37,97,43,7,66,48,12,0,12,303,19.8,1806,22:01
3,Claude Giroux,24,PHI,RW,77,28,65,93,32,6,29,22,6,0,5,242,11.6,1659,21:33
4,Jason Spezza,28,OTT,C,80,34,50,84,32,11,36,24,10,0,2,232,14.7,1594,19:55
5,Ilya Kovalchuk,28,NJD,LW,77,37,46,83,32,-9,33,24,10,3,5,310,11.9,1882,24:26:00
6,Phil Kessel,24,TOR,C,82,37,45,82,32,-10,20,27,10,0,6,295,12.5,1645,20:03
7,James Neal,24,PIT,LW,80,40,41,81,32,6,87,22,18,0,4,329,12.2,1531,19:08
8,Henrik Sedin,31,VAN,C,82,14,67,81,25,23,52,6,8,0,6,113,12.4,1565,19:05
9,John Tavares,21,NYI,C,82,31,50,81,30,-6,26,24,7,0,8,286,10.8,1687,20:34
10,Patrik Elias,35,NJD,LW,81,26,52,78,28,-8,16,16,8,2,3,164,15.9,1608,19:51
11,Erik Karlsson,21,OTT,D,81,19,59,78,26,16,42,16,3,0,5,261,7.3,2051,25:19:00
12,Marian Hossa,33,CHI,RW,81,29,48,77,28,18,20,18,9,2,4,248,11.7,1617,19:58
13,Joe Thornton,32,SJS,C,82,18,59,77,25,17,31,14,4,0,2,156,11.5,1678,20:28
14,Ray Whitney,39,PHX,LW,82,24,53,77,27,26,28,16,8,0,1,185,13,1529,18:39
15,Jordan Eberle,21,EDM,C,78,34,42,76,29,4,10,24,10,0,4,180,18.9,1373,17:36
16,Marian Gaborik,29,NYR,RW,82,41,35,76,31,15,34,31,10,0,7,276,14.9,1600,19:31
17,Anze Kopitar,24,LAK,C,82,25,51,76,27,12,20,15,8,2,2,230,10.9,1750,21:20
18,Martin St. Louis,36,TBL,RW,77,25,49,74,27,-3,16,21,4,0,3,185,13.5,1743,22:38
19,Jason Pominville,29,BUF,RW,82,30,43,73,28,-7,12,20,8,2,5,235,12.8,1614,19:41
20,Loui Eriksson,26,DAL,LW,82,26,45,71,26,18,12,19,5,2,3,187,13.9,1620,19:46
21,Eric Staal,27,CAR,C,82,24,46,70,26,-20,48,14,7,3,3,262,9.2,1767,21:33
22,Matt Moulson,28,NYI,LW,82,36,33,69,28,1,6,22,14,0,5,219,16.4,1583,19:18
23,Zach Parise,27,NJD,C,82,31,38,69,27,-5,32,21,7,3,3,293,10.6,1762,21:29
24,Patrick Sharp,30,CHI,C,74,33,36,69,27,28,38,25,7,1,8,282,11.7,1473,19:54
